5,7,6,3,3,1,3,1,1,5,5,1,3,7,1,1,6,2,3,2,1,1,2,3,3,3,6,3,3,2,3,4,3,7,3,5,5,7,8,5,7,8,12,13,22,23,31,51,59,28,22,13,8,7,5,8,6,6,4,7,4,4,2,2,2,3,7,3,2,3,2,1,3,2,2,2,2,1,5,3,5,2,1,1,1,2,2,5,2,3
1,2,1,2,1,2,1,6,1,7,4,3,12,2,4,4,3,2,2,1,2,3,2,3,6,5,3,8,3,4,6,4,2,4,5,5,8,8,2,5,6,7,6,8,17,15,32,27,33,24,17,8,7,5,5,3,4,1,4,3,6,2,0,2,3,2,2,5,1,3,4,3,1,2,1,3,1,1,1,1,4,4,1,4,1,3,2,5,4,2
3,3,2,1,1,3,1,1,4,4,4,2,2,4,4,3,3,4,4,1,3,6,3,7,4,15,10,2,4,2,7,3,4,3,2,5,3,2,7,3,4,8,9,4,4,9,12,18,18,22,12,10,8,3,4,3,5,2,4,3,3,2,2,1,3,2,1,3,2,3,2,2,2,5,3,4,1,4,3,4,3,3,2,3,2,1,3,9,2,3
2,2,3,2,3,1,2,1,3,6,11,4,13,4,2,6,5,2,2,1,1,0,3,4,9,9,3,6,5,1,5,2,2,5,1,2,6,5,3,4,3,4,5,8,3,6,10,20,11,31,7,7,6,9,3,1,5,3,2,3,3,1,1,2,3,4,2,2,4,3,3,2,1,1,1,3,3,6,2,3,4,3,4,4,1,1,1,5,10,3
3,1,4,2,3,3,2,3,2,3,1,1,3,3,1,3,3,3,2,3,4,5,2,5,6,6,4,3,7,5,4,1,5,6,2,4,7,4,6,3,5,5,3,5,7,7,8,12,14,14,5,6,4,3,2,3,4,7,3,4,8,10,4,4,3,1,1,2,1,3,4,2,2,2,2,1,1,2,5,2,4,1,3,4,5,2,6,9,8,10
3,2,2,2,3,3,3,4,3,1,3,6,2,1,3,4,5,2,1,1,2,2,1,3,7,4,4,3,2,4,4,3,3,2,4,2,4,5,2,1,6,4,5,3,8,6,9,18,10,15,6,7,3,3,2,4,1,3,3,6,3,5,0,2,2,2,2,1,1,3,1,1,1,1,2,2,3,2,4,3,4,3,1,4,3,4,7,3,2,4
2,6,3,2,2,3,2,2,1,3,2,1,2,2,5,1,1,1,3,3,3,3,1,3,5,2,2,1,2,3,6,6,5,2,5,7,2,6,3,8,4,4,3,2,3,8,6,12,6,8,3,3,4,5,2,3,1,3,6,6,6,2,1,2,2,2,3,2,4,2,4,1,1,1,2,2,1,4,1,2,3,1,3,3,2,3,11,3,5,5
2,3,2,3,1,4,2,1,5,3,2,1,4,1,1,2,1,4,3,1,3,1,6,4,1,2,1,1,4,5,2,1,4,5,8,5,3,5,2,2,2,4,3,1,3,4,10,9,4,4,2,5,3,5,2,2,1,2,5,5,6,3,1,1,4,1,2,1,2,2,3,1,1,1,2,1,1,3,5,2,1,1,4,2,5,3,3,9,3,3
4,1,3,1,2,2,2,3,3,7,3,3,3,3,2,2,1,3,5,1,2,1,1,1,2,6,1,3,1,2,5,6,1,2,4,7,9,4,2,3,3,1,2,3,6,2,10,10,4,9,6,9,2,4,2,1,1,3,2,2,2,5,2,1,1,1,1,0,1,2,4,3,1,1,1,2,1,6,2,2,5,4,1,1,3,3,4,2,5,5
2,2,2,4,3,2,8,3,4,3,4,1,5,2,1,0,3,1,3,1,2,2,4,1,4,3,4,5,2,3,5,9,3,4,7,9,8,4,4,3,2,1,3,1,3,8,5,10,8,11,4,4,1,4,1,2,1,3,1,1,2,2,1,2,1,1,1,3,3,2,2,2,2,2,1,1,8,2,5,2,3,1,4,3,2,1,1,6,4,5
